,r.value.fit.vectors.r,fit.vectors.pvals
Actinoplanes sp. NBRC 14428,0.156403321,0.039
Actinoplanes sp. OR16,0.034378476,0.462
Actinoplanes sp. RD1,0.039541439,0.435
Actinoplanes sp. SE50/110,0.075228183,0.203
Actinoplanes sp. TBRC 11911,0.06837298,0.218
Actinoplanes sp. TFC3,0.345183874,0.001
Actinoplanes subtropicus,0.471111609,0.001
Actinoplanes teichomyceticus,0.12973051,0.041
Actinoplanes tereljensis,0.481247609,0.001
Actinoplanes toevensis,0.349987781,0.001
Actinoplanes utahensis,0.034079013,0.467
Actinoplanes xinjiangensis,0.381384295,0.001
Actinopolymorpha alba,0.057241925,0.297
Actinopolymorpha cephalotaxi,0.059750339,0.238
Actinopolymorpha pittospori,0.109975499,0.093
Actinopolymorpha rutila,0.393717162,0.001
Actinopolymorpha singaporensis,0.040553445,0.394
Actinopolymorphaceae bacterium,0.137375385,0.041
Actinopolyspora biskrensis,0.035008534,0.444
Actinopolyspora erythraea,0.001279073,0.976
Actinopolyspora halophila,0.067693391,0.207
Actinopolyspora lacussalsi,0.124673338,0.056
Actinopolyspora mortivallis,0.027779985,0.549
Actinopolyspora mzabensis,0.077389254,0.175
Actinopolyspora righensis,0.108635572,0.11
Actinopolyspora saharensis,0.004388905,0.918
Actinopolyspora xinjiangensis,0.049989369,0.364
Actinorhabdospora filicis,0.059702761,0.284
Actinorugispora endophytica,0.194156988,0.009
Actinospica acidithermotolerans,0.184403511,0.013
Actinospica durhamensis,0.316821846,0.001
Actinospica robiniae,0.422177453,0.001
Actinospica sp.,0.346236942,0.001
Actinosynnema mirum,0.059253076,0.275
Actinosynnema pretiosum,0.01705977,0.727
Actinosynnema sp. ALI-1.44,0.335604548,0.001
Actinotalea caeni,0.389396288,0.001
Actinotalea fermentans,0.28074951,0.001
Actinotalea ferrariae,0.10692909,0.092
Actinotalea soli,0.172648101,0.021
Actinotalea solisilvae,0.01617671,0.709
Actinotalea sp.,0.00364237,0.916
Actinotalea sp. AC32,0.055035981,0.276
Actinotalea sp. C106,0.015915742,0.7
Actinotalea sp. K2,0.096612165,0.111
Actinotalea sp. M2MS4P-6,0.14031064,0.044
Actinotalea sp. Marseille-Q4924,0.050697805,0.34
Actomonas aquatica,0.102583792,0.083
Acutalibacter muris,0.085409839,0.148
Acutalibacteraceae bacterium,0.229855463,0.004
Acuticoccus kalidii,0.234072144,0.006
Acuticoccus kandeliae,0.142926526,0.039
Acuticoccus mangrovi,0.401710479,0.001
Acuticoccus sediminis,0.193464666,0.009
Acuticoccus sp. MNP-M23,0.443607182,0.001
Adhaeretor mobilis,0.30576404,0.001
Adhaeribacter aerolatus,0.051445508,0.279
Adhaeribacter aquaticus,0.199380061,0.005
Adhaeribacter arboris,0.068386526,0.186
Adhaeribacter pallidiroseus,0.053063371,0.278
Adhaeribacter radiodurans,0.051584807,0.284
Adhaeribacter rhizoryzae,0.053648543,0.28
Adhaeribacter soli,0.171941144,0.019
Adhaeribacter swui,0.045778045,0.359
Adhaeribacter terrigena,0.223533091,0.006
Advenella kashmirensis,0.105362166,0.114
Advenella sp. FME57,0.242853841,0.003
Aeoliella mucimassa,0.486108206,0.001
Aeoliella straminimaris,0.445499255,0.001
Aequorivita capsosiphonis,0.19890722,0.023
Aequorivita sp.,0.039805266,0.407
Aequorivita sp. CIP111184,0.1950887,0.015
Aequorivita sp. S2608,0.067908172,0.196
Aequorivita vitellina,0.19890722,0.023
Aeribacillus composti,0.005618279,0.888
Aeribacillus pallidus,0.052135395,0.306
Aerococcaceae bacterium DSM 111020,0.071318575,0.19
Aerococcus urinae,0.118978468,0.058
Aeromicrobium camelliae,0.069690612,0.218
Aeromicrobium chenweiae,0.039530637,0.405
Aeromicrobium choanae,0,1
Aeromicrobium endophyticum,0.08578272,0.13
Aeromicrobium erythreum,0.119131419,0.073
Aeromicrobium fastidiosum,0.140065404,0.043
Aeromicrobium ginsengisoli,0.117023256,0.058
Aeromicrobium marinum,0.105869522,0.086
Aeromicrobium massiliense,0.034056007,0.48
Aeromicrobium panaciterrae,0.202119915,0.004
Aeromicrobium phoceense,0.033524541,0.496
Aeromicrobium phragmitis,0.014763762,0.731
Aeromicrobium piscarium,0.052614305,0.35
Aeromicrobium senzhongii,0.053475065,0.317
Aeromicrobium sp.,0.247356591,0.002
Aeromicrobium sp. 50.2.37,0.05742506,0.269
Aeromicrobium sp. 9AM,0.473972302,0.001
Aeromicrobium sp. A1-2,0.028518101,0.558
Aeromicrobium sp. CFBP 8757,0.084650252,0.137
Aeromicrobium sp. IC_218,0.189622504,0.008
Aeromicrobium sp. Leaf291,0.054046656,0.302
Aeromicrobium sp. Leaf350,0.210121261,0.005
Aeromicrobium sp. PE09-221,0.055452512,0.296
Aeromicrobium sp. Root236,0.259300022,0.002
Aeromicrobium sp. Root344,0.386592205,0.001
Aeromicrobium sp. Root472D3,0.09175353,0.113
Aeromicrobium sp. Root495,0.226133339,0.008
Aeromicrobium sp. YIM 150415,0.079107191,0.18
Aeromicrobium stalagmiti,0.185453108,0.026
Aeromicrobium tamlense,0.08591304,0.128
Aeromicrobium terrae,0.018313264,0.67
Aeromicrobium wangtongii,0.070932681,0.188
Aeromicrobium yanjiei,0.030853358,0.521
Aeromonadaceae bacterium,0.164497412,0.02
Aeromonas caviae,0.009964467,0.799
Aeromonas hydrophila,0.118332973,0.076
Aeromonas jandaei,0.013767486,0.721
Aeromonas media,0.41649962,0.001
Aeromonas salmonicida,0.174381294,0.025
Aeromonas simiae,0.067412382,0.214
Aeromonas sp.,0.281382342,0.002
Aeromonas sp. FDAARGOS 1415,0.110399927,0.072
Aeromonas sp. HMWF014,0.261655914,0.003
Aeromonas sp. QDB04,0.037595652,0.399
Aeromonas sp. XH,0.294545408,0.002
Aeromonas veronii,0.025179582,0.573
Aerophototrophica crusticola,0.185652817,0.014
Aerosakkonema funiforme,0.205033362,0.005
Aestuariibacter sp.,0.071846727,0.184
Aestuariibaculum lutulentum,0,1
Aestuariibaculum suncheonense,0.201820161,0.007
Aestuariicella hydrocarbonica,0.298316072,0.001
Aestuariicoccus sp. MJ-SS9,0.230429314,0.003
Aestuariimicrobium ganziense,0.08193931,0.128
Aestuariispira ectoiniformans,0.419659851,0.001
Aestuariispira insulae,0.402302379,0.001
Aestuariivirga litoralis,0.309121372,0.001
Aestuariivirga sp.,0.312193201,0.002
Aestuariivirga sp. YIM B02566,0.230504827,0.004
Aestuariivirgaceae bacterium,0.001411711,0.966
Aestuariivita sp.,0,1
Aestuariivivens sediminis,0.04445503,0.369
Aetherobacter rufus,0.073877981,0.153
Aetokthonos hydrillicola,0.073839081,0.197
aff. Roholtiella sp. LEGE 12411,0.060347328,0.266
Afifella aestuarii,0.267120321,0.003
Afifella pfennigii,0.413684894,0.001
Afifella sp. IM 167,0.034063984,0.476
Afifella sp. JA880,0.364046652,0.001
Afifellaceae bacterium,0.120087343,0.054
Afipia birgiae,0.150512089,0.036
Afipia broomeae,0.148495173,0.036
Afipia carboxidovorans,0.443559747,0.001
Afipia clevelandensis,0.030369314,0.548
Afipia felis,0.563457784,0.001
Afipia massiliensis,0.089537935,0.138
Afipia sp.,0.049365396,0.336
Afipia sp. 1NLS2,0.444939366,0.001
Afipia sp. 62-7,0,1
Afipia sp. 64-13,0.360377967,0.001
Afipia sp. GAS231,0.549332798,0.001
Afipia sp. NBIMC_P1-C2,0.07257003,0.188
Afipia sp. OHSU_II-C1,0.023188152,0.643
Afipia sp. OHSU_II-C2,0.092229403,0.121
Afipia sp. P52-10,0.14405217,0.042
Afipia sp. Root123D2,0.237540662,0.006
Agaricicola taiwanensis,0.057617862,0.249
Agarilytica rhodophyticola,0.073877981,0.153
Aggregatilinea lenta,0.030094612,0.518
Aggregatilinea sp.,0.024324782,0.581
Aggregatilineaceae bacterium,0.101672501,0.104
Aggregatilineales bacterium,0.177284458,0.012
Aggregicoccus edonensis,0.096658927,0.109
Aggregicoccus sp.,0.120194881,0.074
Agilicoccus flavus,0.117091459,0.072
Agitococcus sp.,0.047816844,0.348
Agreia bicolorata,0.070716062,0.195
Agreia pratensis,0.024849183,0.601
Agreia sp. COWG,0.080548871,0.173
Agreia sp. Leaf244,0.292218942,0.004
Agreia sp. Leaf283,0.140575547,0.051
Agreia sp. VKM Ac-1783,0.264826196,0.002
Agriterribacter humi,0.212997276,0.007
Agriterribacter sp.,0.111034827,0.088
Agrobacterium cavarae,0.146528686,0.038
Agrobacterium deltaense,0.3961091,0.001
Agrobacterium fabrum,0.07214766,0.163
Agrobacterium genomosp. 5,0.040999595,0.411
Agrobacterium larrymoorei,0.289290662,0.002
Agrobacterium leguminum,0.279720377,0.001
Agrobacterium pusense,0.240730877,0.004
Agrobacterium rosae,0.153929786,0.031
Agrobacterium rubi,0.288792975,0.001
Agrobacterium salinitolerans,0.586493227,0.001
Agrobacterium sp.,0.102425897,0.102
Agrobacterium sp. a22-2,0.124431477,0.068
Agrobacterium sp. ATCC 31749,0.024951139,0.591
Agrobacterium sp. CNPSo 2736,0.207650357,0.005
Agrobacterium sp. DSM 25558,0.003868119,0.927
Agrobacterium sp. fls2-241-TYG-188a,0.062856304,0.244
Agrobacterium sp. ICMP 7243,0.271451034,0.004
Agrobacterium sp. LAD9,0.180757478,0.044
Agrobacterium sp. RAC06,0.325072079,0.001
Agrobacterium sp. S2,0.051899586,0.281
Agrobacterium sp. S2/73,0.076770174,0.186
Agrobacterium tumefaciens,0.121188083,0.064
Agrobacterium vitis,0.047985761,0.366
Agrococcus baldri,0.022460761,0.625
Agrococcus carbonis,0.173812435,0.019
Agrococcus jenensis,0.039494489,0.436
Agrococcus sp.,0.15605648,0.027
Agrococcus sp. BE272,0.216661331,0.009
Agrococcus sp. HG114,0.020085466,0.638
Agrococcus sp. KRD186,0.172419191,0.014
Agrococcus sp. SL85,0.084916532,0.146
Agromyces agglutinans,0.230836623,0.005
Agromyces albus,0.138792265,0.048
Agromyces allii,0.29291876,0.001
Agromyces archimandritae,0.104328905,0.099
Agromyces atrinae,0.072522856,0.198
Agromyces aurantiacus,0.211986197,0.011
Agromyces aureus,0.217232926,0.005
Agromyces badenianii,0.383625637,0.001
Agromyces bauzanensis,0.339635078,0.001
Agromyces binzhouensis,0.244856574,0.002
Agromyces bracchium,0.218504678,0.002
Agromyces cavernae,0.351587198,0.001
Agromyces cerinus,0.280856406,0.002
Agromyces flavus,0.273464549,0.001
Agromyces fucosus,0.150382156,0.04
Agromyces hippuratus,0.218191682,0.008
Agromyces humatus,0.314281195,0.001
Agromyces humi,0.419680519,0.001
Agromyces indicus,0.012248365,0.767
Agromyces intestinalis,0.215732221,0.003
Agromyces italicus,0.338472442,0.001
Agromyces kandeliae,0.148807931,0.043
Agromyces laixinhei,0.259917645,0.002
Agromyces lapidis,0.246609696,0.002
Agromyces larvae,0.414754702,0.001
Agromyces luteolus,0.395797187,0.001
Agromyces mangrovi,0.011079083,0.798
Agromyces mariniharenae,0.306020327,0.001
Agromyces marinus,0.447884305,0.001
Agromyces mediolanus,0.212308852,0.008
Agromyces protaetiae,0.216381902,0.01
Agromyces ramosus,0.504527547,0.001
Agromyces rhizosphaerae,0.111185696,0.081
Agromyces salentinus,0.451078223,0.001
Agromyces seonyuensis,0.139228294,0.048
Agromyces soli,0.20829998,0.009
Agromyces sp.,0.286507273,0.001
Agromyces sp. 3263,0.344101912,0.001
Agromyces sp. C10,0.107531502,0.086
Agromyces sp. CF514,0.22579809,0.004
Agromyces sp. H17E-10,0.227697441,0.004
Agromyces sp. H66,0.292521209,0.001
Agromyces sp. ISL-38,0.441935818,0.001
Agromyces sp. Leaf222,0.185610461,0.009
Agromyces sp. LHK192,0.382861376,0.001
Agromyces sp. Marseille-P2726,0.221062381,0.005
Agromyces sp. NBRC 114283,0.311950893,0.001
Agromyces sp. NDB4Y10,0.134402707,0.051
Agromyces sp. Root1464,0.191405406,0.013
Agromyces sp. Root81,0.247592636,0.002
Agromyces sp. S2-1-8,0.044469627,0.4
Agromyces sp. Soil535,0.404808061,0.001
Agromyces subbeticus,0.186303468,0.015
Agromyces tardus,0.448792487,0.001
Agromyces terreus,0.216764866,0.006
Ahniella affigens,0.027101324,0.543
Ahrensia sp.,0.198130374,0.015
Aidingimonas halophila,0.047526296,0.38
Akkermansiaceae bacterium,0.064955773,0.252
Albibacillus kandeliae,0.224843261,0.003
Albibacterium bauzanense,0.19959331,0.005
Albibacterium sp.,0.200021324,0.005
Albidovulum sp.,0.182270431,0.013
Albimonas donghaensis,0.359343578,0.002
Albimonas pacifica,0.076328147,0.201
Albimonas sp. CAU 1670,0.378163108,0.001
Albitalea terrae,0.208020315,0.006
Alcaligenaceae bacterium,0.179669171,0.031
Alcaligenaceae bacterium 429,0.19890722,0.023
Alcaligenaceae bacterium CGII-47,0.200432917,0.001
Alcaligenes ammonioxydans,0.03083056,0.517
Alcaligenes aquatilis,0.204264618,0.004
Alcaligenes faecalis,0.096342027,0.137
Alcaligenes pakistanensis,0.012051795,0.795
Alcaligenes sp.,0.19890722,0.023
Alcanivoracaceae bacterium,0.077367268,0.191
Alcanivorax profundi,0.008937607,0.871
Alcanivorax sediminis,0.200907479,0.006
Alcanivorax sp.,0.096933415,0.121
Alcanivorax sp. HI0083,0.097508443,0.111
Aldersonia kunmingensis,0.271568574,0.003
Aldersonia sp.,0.409116841,0.001
Aldersonia sp. NBC_00410,0.134431144,0.047
Algibacter mikhailovii,0.048491601,0.303
Algibacter pacificus,0.19890722,0.023
Algimonas ampicilliniresistens,0,1
Algisphaera agarilytica,0.073877981,0.153
Algoriphagus aestuarii,0.072455555,0.193
Algoriphagus chordae,0.19890722,0.023
Algoriphagus locisalis,0.054958262,0.3
Algoriphagus machipongonensis,0.19890722,0.023
Algoriphagus sp.,0.01469362,0.761
Algoriphagus sp. E1-3-M2,0.035371975,0.413
Aliarcobacter sp.,0.037971491,0.369
Alicycliphilus denitrificans,0.012527741,0.782
Alicycliphilus sp.,0.197221356,0.013
Alicycliphilus sp. B1,0.271467638,0.001
Alicyclobacillaceae bacterium,0.131435046,0.062
Alicyclobacillus contaminans,0.260584519,0.003
Alicyclobacillus curvatus,0.01719758,0.74
Alicyclobacillus fastidiosus,0.070843009,0.21
Alicyclobacillus ferrooxydans,0.19890722,0.023
Alicyclobacillus herbarius,0.08419901,0.127
Alicyclobacillus kakegawensis,0.200177683,0.011
Alicyclobacillus macrosporangiidus,0.142610876,0.039
Alicyclobacillus mali (ex Roth et al. 2021),0.126014258,0.064
Alicyclobacillus sendaiensis,0.196996973,0.015
Alicyclobacillus sp.,0.029557511,0.54
Alicyclobacillus sp. ALC3,0.030114823,0.512
Alicyclobacillus sp. SO9,0.211199264,0.005
Alicyclobacillus suci,0.14916992,0.044
Alicyclobacillus tolerans,0.239691327,0.005
Alienimonas chondri,0.256854924,0.002
Aliidongia dinghuensis,0.005510496,0.893
Aliidongia sp.,0.121929391,0.068
Aliifodinibius sp. S!AR15-10,0.282844801,0.002
Aliihoeflea aestuarii,0.152610843,0.032
Aliihoeflea sp. 2WW,0.028446874,0.522
Aliihoeflea sp. 40Bstr573,0.059149882,0.255
Aliiroseovarius sp.,0.189119195,0.013
Aliiruegeria lutimaris,0.136384962,0.057
Aliiruegeria sabulilitoris,0.329043948,0.001
Alishewanella agri,0.018116827,0.698
Alishewanella sp.,0.009231313,0.807
Alistipes megaguti,0.213472478,0.006
Alistipes sp.,0.035287426,0.475
Aliterella atlantica,0.23963382,0.006
Alkalicella caledoniensis,0.19890722,0.023
Alkalihalobacillus deserti,0.129186148,0.054
Alkalihalobacillus sp. BA299,0.213653927,0.008
Alkalihalobacillus sp. MEB130,0.082907388,0.149
Alkalihalobacterium alkalinitrilicum,0.112154681,0.082
Alkalihalobacterium bogoriense,0.014486809,0.733
Alkalilacustris brevis,0.013978692,0.8
Alkalilimnicola ehrlichii,0.262100897,0.004
Alkalilimnicola sp. S0819,0.171197156,0.016
Alkalimonas sp.,0.037971491,0.369
Alkalinema sp. CACIAM 70d,0.14433399,0.048
Alkalinema sp. CAN_BIN05,0.007696079,0.854
Alkalinema sp. FACHB-956,0.073154376,0.172
Alkalinema sp. RU_4_3,0.061451511,0.268
Alkalisalibacterium limincola,0.177586761,0.022
Alkalispirochaeta odontotermitis,0.05807565,0.31
Allgaiera indica,0.139100265,0.057
Allgaiera sp.,0.182474463,0.009
Alloacidobacterium dinghuense,0.414335727,0.001
Alloacidobacterium sp.,0.384613888,0.001
Alloactinosynnema sp. L-07,0.18291494,0.008
Alloalcanivorax marinus,0.422973994,0.001
Alloalcanivorax xenomutans,0.496655068,0.001
Allobranchiibius huperziae,0.19890722,0.023
Allobranchiibius sp. CTAmp26,0.362824345,0.001
Allobranchiibius sp. GilTou38,0.194534393,0.013
Allobranchiibius sp. GilTou73,0.139890369,0.04
Allocatelliglobosispora scoriae,0.431864631,0.001
Allochromatium humboldtianum,0.057193566,0.295
Allochromatium palmeri,0.084409139,0.164
Allochromatium tepidum,0.279128562,0.002
Allochromatium vinosum,0.059081091,0.264
Allochromatium warmingii,0.202165264,0.007
Allocoleopsis franciscana,0.187224952,0.015
Allokutzneria albata,0.338895729,0.001
Allokutzneria sp. A3M-2-11 16,0.106673904,0.093
Allokutzneria sp. NRRL B-24872,0.00469243,0.889
Allomeiothermus silvanus,0.08680791,0.134
Allonocardiopsis opalescens,0.194435647,0.012
Allopontixanthobacter confluentis,0.183755262,0.017
Alloprevotella sp.,0.106312715,0.077
Alloprevotella tannerae,0.048979574,0.346
Allopusillimonas ginsengisoli,0.270646375,0.001
Allopusillimonas soli,0.19890722,0.023
Allorhizobium ampelinum,0.022769695,0.605
Allorhizobium taibaishanense,0.01645704,0.7
Allorhizobium terrae,0.102181886,0.091
Allorhizocola rhizosphaerae,0.362925288,0.001
Allosaccharopolyspora coralli,0.104965592,0.098
Allosalinactinospora lopnorensis,0.075955911,0.18
Allosphingosinicella indica,0.044395294,0.377
Allosphingosinicella sp.,0.336474307,0.001
Allosphingosinicella vermicomposti,0.012530695,0.761
Allostreptomyces psammosilenae,0.05155427,0.306
alpha proteobacterium AAP38,0.097984546,0.103
alpha proteobacterium BAL199,0.457523608,0.001
alpha proteobacterium U9-1i,0.115770449,0.081
Alphaproteobacteria bacterium,0.267595637,0.001
Alphaproteobacteria bacterium 13_1_20CM_3_64_12,0.474920458,0.001
Alphaproteobacteria bacterium 13_1_20CM_4_65_11,0.465458252,0.001
Alphaproteobacteria bacterium 13_2_20CM_2_64_7,0.134294693,0.053
Alphaproteobacteria bacterium 46_93_T64,0.113654037,0.088
Alphaproteobacteria bacterium 64-11,0.224832249,0.005
Alphaproteobacteria bacterium 64-6,0.271687844,0.001
Alphaproteobacteria bacterium 65-37,0.001430162,0.973
Alphaproteobacteria bacterium 65-7,0.175057893,0.021
Alphaproteobacteria bacterium ADurb.Bin100,0.120228958,0.065
Alphaproteobacteria bacterium ADurb.BinA305,0.12889254,0.054
Alphaproteobacteria bacterium BRH_c36,0.099979287,0.118
Alphaproteobacteria bacterium CG_4_9_14_3_um_filter_47_13,0.167613913,0.019
Alphaproteobacteria bacterium GWC2_42_16,0.189201872,0.016
Alphaproteobacteria bacterium GWF2_58_20,0.023125936,0.617
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-10,0.072275309,0.196
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-11,0.122230003,0.064
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-12,0.118258841,0.058
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-13,0.054377161,0.268
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-3,0.3171821,0.001
Alphaproteobacteria bacterium HGW-Alphaproteobacteria-8,0.007219218,0.876
Alphaproteobacteria bacterium HT1-32,0.035608279,0.432
Alphaproteobacteria bacterium LMO-S08,0.015273568,0.765
Alphaproteobacteria bacterium MarineAlpha1_Bin1,0.000681166,0.985
Alphaproteobacteria bacterium MarineAlpha10_Bin1,0.15473133,0.028
Alphaproteobacteria bacterium MarineAlpha10_Bin2,0.702242885,0.001
Alphaproteobacteria bacterium MarineAlpha10_Bin3,0.149549764,0.027
Alphaproteobacteria bacterium MarineAlpha3_Bin2,0.247949087,0.003
Alphaproteobacteria bacterium MarineAlpha4_Bin2,0.370441128,0.003
Alphaproteobacteria bacterium MarineAlpha5_Bin4,0.01719758,0.74
Alphaproteobacteria bacterium PA1,0.053875853,0.294
Alphaproteobacteria bacterium RBG_16_64_48,0.152459835,0.029
Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_12,0.045825969,0.364
Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_66_14,0.311687111,0.001
Alphaproteobacteria bacterium RIFOXYD12_FULL_60_8,0.054958262,0.3
Alphaproteobacteria bacterium SO-S41,0.101807607,0.113
Alphaproteobacteria bacterium SS10,0.246390475,0.003
Alpinimonas psychrophila,0.109952105,0.092
Alsobacter metallidurans,0.018774774,0.672
Alsobacter ponti,0.169268088,0.017
Alsobacter soli,0.12652749,0.05
Alteraurantiacibacter aquimixticola,0.01719758,0.74
Alteraurantiacibacter sp.,0.044793537,0.322
Altererythrobacter insulae,0.19890722,0.023
Altererythrobacter ishigakiensis,0.141300782,0.039
Altererythrobacter segetis,0.043023875,0.33
Altererythrobacter sp.,0.047280492,0.296
Altererythrobacter sp. 66-12,0.048260898,0.29
Altererythrobacter sp. B11,0.039851697,0.408
Altererythrobacter sp. BO-6,0.181985358,0.013
Altererythrobacter sp. C41,0.435638649,0.001
Altererythrobacter sp. CC-YST694,0.060230969,0.276
Altererythrobacter sp. H2,0.01351518,0.747
Altererythrobacter sp. KTW20L,0.049148916,0.283
Altererythrobacter sp. Root672,0.046122397,0.305
Altericroceibacterium endophyticum,0.05412045,0.292
Altericroceibacterium indicum,0.04793699,0.298
Altericroceibacterium spongiae,0.200824727,0.009
Altericroceibacterium xinjiangense,0.046885063,0.308
Alterinioella nitratireducens,0.28041302,0.001
Alteriqipengyuania flavescens,0.057806753,0.246
Alteriqipengyuania halimionae,0.02750896,0.568
Alteriqipengyuania lutimaris,0.19890722,0.023
Alteriqipengyuania sp. WL0013,0.112448708,0.086
Alteromonadaceae bacterium,0.203739156,0.009
Alteromonadaceae bacterium 2753L.S.0a.02,0.065709666,0.196
Alteromonas macleodii,0.403146898,0.001
Alteromonas sp.,0.200181558,0.009
Alteromonas sp. 76-1,0.03541113,0.493
